"RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","premise"
"05/04/2015","GRAND LARCENY","FELONY","BROOKLYN",61,40.60063007,-73.950590946,"(40.60063007, -73.950590946)",4801,"2130-2132 E 21st St, Brooklyn, NY 11229, USA","2130-2132","East 21st Street","Sheepshead Bay","Brooklyn","Kings County","New York","United States","11229",NA,NA,NA
"06/05/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","STATEN ISLAND",120,40.623848889,-74.081979859,"(40.623848889, -74.081979859)",4802,"217 Broad St, Staten Island, NY 10304, USA","217","Broad Street","Stapleton","Staten Island","Richmond County","New York","United States","10304","2057",NA,NA
"04/30/2015","ROBBERY","FELONY","MANHATTAN",7,40.718619938,-73.976625104,"(40.718619938, -73.976625104)",4803,"142 Baruch Pl, New York, NY 10002, USA","142","Baruch Place","Lower Manhattan","Manhattan","New York County","New York","United States","10002",NA,"New York",NA
"02/22/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",67,40.651407887,-73.937615605,"(40.651407887, -73.937615605)",4804,"4211-4213 Church Ave, Brooklyn, NY 11203, USA","4211-4213","Church Avenue","East Flatbush","Brooklyn","Kings County","New York","United States","11203",NA,NA,NA
"04/22/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS",105,40.69247942,-73.734426574,"(40.69247942, -73.734426574)",4805,"117-26-117-28 227th St, Cambria Heights, NY 11411, USA","117-26-117-28","227th Street","Cambria Heights","Queens","Queens County","New York","United States","11411",NA,NA,NA
"04/21/2015","FELONY ASSAULT","FELONY","BRONX",42,40.836652522,-73.907146909,"(40.836652522, -73.907146909)",4806,"1400 Webster Ave, Bronx, NY 10456, USA","1400","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","1807",NA,NA
"05/13/2015","HARRASSMENT 2","VIOLATION","MANHATTAN",14,40.749118855,-73.990141355,"(40.749118855, -73.990141355)",4807,"101-139 W 32nd St, New York, NY 10001, USA","101-139","West 32nd Street","Midtown","Manhattan","New York County","New York","United States","10001","3206","New York",NA
"01/18/2015","GRAND LARCENY","FELONY","BROOKLYN",70,40.614193113,-73.960258992,"(40.614193113, -73.960258992)",4808,"1440-1454 E 14th St, Brooklyn, NY 11230, USA","1440-1454","East 14th Street","Midwood","Brooklyn","Kings County","New York","United States","11230","6610",NA,NA
"09/29/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN",24,40.794659285,-73.971787782,"(40.794659285, -73.971787782)",4809,"252 W 96th St, New York, NY 10025, USA","252","West 96th Street","Upper West Side","Manhattan","New York County","New York","United States","10025",NA,"New York",NA
"06/18/2015","MISCELLANEOUS PENAL LAW","FELONY","QUEENS",113,40.676046592,-73.790343315,"(40.676046592, -73.790343315)",4810,"122-99 Sutphin Blvd, Jamaica, NY 11434, USA","122-99","Sutphin Boulevard","Jamaica","Queens","Queens County","New York","United States","11434",NA,NA,NA
