"RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","premise"
"04/15/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.820756944,-73.906002089,"(40.820756944, -73.906002089)",9600,"840 Jackson Ave, Bronx, NY 10456, USA","840","Jackson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","7760",NA,NA
"04/17/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",78,40.666272922,-73.98376259,"(40.666272922, -73.98376259)",9601,"451 11th St, Brooklyn, NY 11215, USA","451","11th Street","Park Slope","Brooklyn","Kings County","New York","United States","11215","4307",NA,NA
"09/16/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","MANHATTAN",18,40.764704604,-73.978092624,"(40.764704604, -73.978092624)",9602,"117-119 W 57th St, New York, NY 10019, USA","117-119","West 57th Street","Midtown","Manhattan","New York County","New York","United States","10019",NA,"New York",NA
"07/18/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",113,40.677003957,-73.778327712,"(40.677003957, -73.778327712)",9603,"12919 Guy R Brewer Blvd, Jamaica, NY 11434, USA","12919","Guy R Brewer Boulevard","Jamaica","Queens","Queens County","New York","United States","11434",NA,NA,NA
"12/23/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",47,40.894634176,-73.858395352,"(40.894634176, -73.858395352)",9604,"655-661 E 234th St, Bronx, NY 10466, USA","655-661","East 234th Street","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA,NA
"01/25/2015","MURDER & NON-NEGL. MANSLAUGHTER","FELONY","QUEENS",113,40.679125323,-73.773914941,"(40.679125323, -73.773914941)",9605,"168-1-168-99 127th Ave, Jamaica, NY 11434, USA","168-1-168-99","127th Avenue","Jamaica","Queens","Queens County","New York","United States","11434",NA,NA,NA
"02/27/2015","OTHER OFFENSES RELATED TO THEF","MISDEMEANOR","QUEENS",108,40.738719019,-73.895887583,"(40.738719019, -73.895887583)",9606,"47-8-47-12 69th St, Woodside, NY 11377, USA","47-8-47-12","69th Street","Woodside","Queens","Queens County","New York","United States","11377","5925",NA,NA
"06/30/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",67,40.641249842,-73.943721849,"(40.641249842, -73.943721849)",9607,"562 E 35th St, Brooklyn, NY 11203, USA","562","East 35th Street","East Flatbush","Brooklyn","Kings County","New York","United States","11203","5512",NA,NA
"10/08/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",5,40.724800731,-73.997317247,"(40.724800731, -73.997317247)",9608,"583-589 Broadway, New York, NY 10012, USA","583-589","Broadway","Lower Manhattan","Manhattan","New York County","New York","United States","10012",NA,"New York",NA
"06/29/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",77,40.672975848,-73.941860139,"(40.672975848, -73.941860139)",9609,"1075-1079 Park Pl, Brooklyn, NY 11213, USA","1075-1079","Park Place","Crown Heights","Brooklyn","Kings County","New York","United States","11213",NA,NA,NA
